Argentina,11,369.2833333,19.47,6,,,
Argentina,11,383.1466667,20.13333333,7,,,
Argentina,11,395.17,20.8,8,,,
Argentina,11,412.87,21.61,9,,,
Argentina,11,425.04,22.12666667,10,,,
Argentina,11,426,22.12666667,11,,,
Argentina,11,444.0666667,22.49333333,12,,,
Argentina,11,483.0833333,23.52666667,13,,,
Argentina,11,506.39,24.26333333,14,,,
Argentina,11,525.1966667,26.03333333,15,,,
Argentina,11,550.64,26.25666667,16,,,
Argentina,11,574.6833333,26.77333333,17,,,
Argentina,11,574.6833333,26.99333333,18,,,
Argentina,11,616.43,28.17333333,19,,,
Argentina,11,648.7333333,28.98666667,20,,,
Argentina,11,683.6933333,29.72333333,21,,,
Argentina,11,731.4833333,30.68,22,,,
Argentina,11,784.44,31.93666667,23,,,
Argentina,11,836.36,32.82,24,,,
Argentina,11,889.6833333,33.33666667,25,,,
Argentina,11,930.3966667,34.44333333,26,,,
Argentina,11,974.65,35.69666667,27,,,
Argentina,11,1026.643333,36.87666667,28,,,
Argentina,11,1083.36,37.46666667,29,,,
Argentina,11,1136.243333,38.35,30,,,
Argentina,11,1194.876667,38.94333333,31,,,
Uruguay,236,192.876,4.894,6,,,
Uruguay,236,193.74,4.894,7,,,
Uruguay,236,196.907,4.894,8,,,
Uruguay,236,199.785,5.182,9,,,
Uruguay,236,202.088,5.182,10,,,
Uruguay,236,203.528,5.47,11,,,
Uruguay,236,204.679,5.47,12,,,
Uruguay,236,206.407,5.47,13,,,
Uruguay,236,206.982,5.47,14,,,
Uruguay,236,208.422,5.47,15,,,
Uruguay,236,210.725,5.47,16,,,
Uruguay,236,211.013,5.47,17,,,
Uruguay,236,211.3,5.758,18,,,
Uruguay,236,212.164,5.758,19,,,
Uruguay,236,212.452,5.758,20,,,
Uruguay,236,214.755,5.758,21,,,
Uruguay,236,215.619,5.758,22,,,
Uruguay,236,216.77,5.758,23,,,
Uruguay,236,219.937,6.333,24,,,
Uruguay,236,221.376,6.333,25,,,
Uruguay,236,226.558,6.333,26,,,
Uruguay,236,227.134,6.333,27,,,
Uruguay,236,231.164,6.333,28,,,
Uruguay,236,233.467,6.333,29,,,
Uruguay,236,234.906,6.333,30,,,
Uruguay,236,236.346,6.333,31,,,
Chile,40,1151.693,14.386,6,,,
Chile,40,1205.678,14.7,7,,,
Chile,40,1285.872,14.909,8,,,
Chile,40,1358.638,15.38,9,,,
Chile,40,1423.87,15.903,10,,,
Chile,40,1510.027,16.321,11,,,
Chile,40,1572.644,16.897,12,,,
Chile,40,1659.377,17.524,13,,,
Chile,40,1798.526,18.1,14,,,
Chile,40,1937.623,18.728,15,,,
Chile,40,2068.506,20.611,16,,,
Chile,40,2167.166,22.023,17,,,
Chile,40,2290.255,23.54,18,,,
Chile,40,2409.421,25.005,19,,,
Chile,40,2593.558,26.627,20,,,
Chile,40,2804.793,28.458,21,,,
Chile,40,3012.156,30.812,22,,,
Chile,40,3235.84,32.956,23,,,
Chile,40,3420.814,35.206,24,,,
Chile,40,3614.838,37.56,25,,,
Chile,40,3870.903,39.809,26,,,
Chile,40,4078.267,42.163,27,,,
Chile,40,4304.671,43.994,28,,,
Chile,40,4548.13,46.557,29,,,
Chile,40,4741.421,49.382,30,,,
Chile,40,4962.176,52.155,31,,,
Bolivia,27,154.373,7.367,6,,,
Bolivia,27,161.569,7.796,7,,,
Bolivia,27,178.274,8.738,8,,,
Bolivia,27,194.123,9.081,9,,,
Bolivia,27,208.772,9.766,10,,,
Bolivia,27,218.966,10.109,11,,,
Bolivia,27,242.525,10.451,12,,,
Bolivia,27,253.919,10.965,13,,,
Bolivia,27,269.682,12.165,14,,,
Bolivia,27,288.871,13.021,15,,,
